Name,abstract
Recent advances in ammonia synthesis technologies: Toward future zero carbon emissions,"
                  As a carbon-free molecule, ammonia has gained great global interest in being considered a significant future candidate for the transition toward renewable energy. Numerous applications of ammonia as a fuel have been developed for energy generation, heavy transportation, and clean, distributed energy storage. There is a clear global target to achieve a sustainable economy and carbon neutrality. Therefore, most of the research's efforts are concentrated on generating cost-effective renewable energy on a large scale rather than fossil fuels. However, storage and transportation are still roadblocks for these technologies, for example, hydrogen technologies. Ammonia could be replaced as a viable fuel for a clean and sustainable future of global energy. More efforts from governments and scientists can lead to making ammonia a clean energy vector in most energy applications. In this review, ammonia synthesis was assessed, including conventional Haber–Bosch technology. Current hydrogen technologies as the key parameters for ammonia generation are also evaluated. The role of ammonia as a hydrogen-based fuel and generation roadmap are discussed for future utilization of energy mix. Further, ammonia generation processes are addressed in depth, including blue and green ammonia generation. A survey of ammonia synthesis catalytic materials was conducted and the role of catalyst materials in ammonia generation was compared, which showed that the Ru-based catalyst generated the maximum ammonia after 20 h of starting experiment. An end-use plan for using ammonia as a clean energy fuel in vehicles, marines, gas turbines as well as fuel cells, is briefly discussed to recognize the potential applications of ammonia use. The practical and future end-use vision of energy sources is proposed to achieve great benefits at low carbon emissions and costs. This review can provide prospective knowledge of large-scale aspects and environmental considerations of ammonia. Herein, we conclude that ammonia will become the “clean energy carrier link” that will achieve the global energy and economy sustainability targets.
               "
Co doping regulating electronic structure of Bi2MoO6 to construct dual active sites for photocatalytic nitrogen fixation,"
                  Although photocatalytic nitrogen reduction reaction (PNRR) is a green ammonia synthesis technology, it still encounters low adsorption/activation efficiency of N2 and lack of reaction active sites. Element doping is an efficient strategy to regulate electronic structure of catalyst. Nevertheless, the mechanism of the effect of doping elements on the N2 adsorption/activation, reaction active site and energy barriers is not well unraveled. Taking Co doped Bi2MoO6 (Co-Bi2MoO6) as a model photocatalyst, density functional theory (DFT) and experiment study were used to investigate the mechanism of Co doping on the PNRR performance over Bi2MoO6. DFT results reveal that Co doping regulates the electronic structure, activates Bi sites of Co-Bi2MoO6 and provides new Co active sites, thus constructing dual active sites for PNRR. Benefited from dual active sites for effectively adsorption/activation N2, the as-fabricated 3% Co-Bi2MoO6 exhibit the maximum NH3 generation rate of 95.5 μmol·g−1·h−1 without sacrificial agents, which is 7.2 times that of Bi2MoO6. Furthermore, the detail mechanism of NN bond adsorption/activation and hydrogenation reaction on Co-Bi2MoO6 was also proposed according to in-situ FTIR and DFT results. This study provides a promising strategy to design catalysts with dual active sites for PNRR, which is of great significance to the popularization of other material systems.
               "
"A Prompt Decarbonization Pathway for Shipping: Green Hydrogen, Ammonia, and Methanol Production and Utilization in Marine Engines","<jats:p>The shipping industry has reached a higher level of maturity in terms of its knowledge and awareness of decarbonization challenges. Carbon-free or carbon-neutralized green fuel, such as green hydrogen, green ammonia, and green methanol, are being widely discussed. However, little attention has paid to the green fuel pathway from renewable energy to shipping. This paper, therefore, provides a review of the production methods for green power (green hydrogen, green ammonia, and green methanol) and analyzes the potential of green fuel for application to shipping. The review shows that the potential production methods for green hydrogen, green ammonia, and green methanol for the shipping industry are (1) hydrogen production from seawater electrolysis using green power; (2) ammonia production from green hydrogen + Haber–Bosch process; and (3) methanol production from CO2 using green power. While the future of green fuel is bright, in the short term, the costs are expected to be higher than conventional fuel. Our recommendations are therefore as follows: improve green power production technology to reduce the production cost; develop electrochemical fuel production technology to increase the efficiency of green fuel production; and explore new technology. Strengthening the research and development of renewable energy and green fuel production technology and expanding fuel production capacity to ensure an adequate supply of low- and zero-emission marine fuel are important factors to achieve carbon reduction in shipping.</jats:p>"
Utilization of green ammonia as a hydrogen energy carrier for decarbonization in spark ignition engines,"
                  Rising concerns about the dependence of modern energy systems on fossil fuels have raised the requirement for green alternate fuels to pave the roadmap for a sustainable energy future with a carbon-free economy. Massive expectations of hydrogen as an enabler for decarbonization of the energy sector are limited by the lack of required infrastructure, whose implementation is affected by the issues related to the storage and distribution of hydrogen energy. Ammonia is an effective hydrogen energy carrier with a well-established and mature infrastructure for long-distance transportation and distribution. The possibility for green ammonia production from renewable energy sources has made it a suitable green alternate fuel for the decarbonization of the automotive and power generation sectors. In this work, engine characteristics for ammonia combustion in spark ignition engines have been reported with a detailed note on engines fuelled with pure ammonia as well as blends of ammonia with gasoline, hydrogen, and methane. Higher auto-ignition temperature, low flammability, and lower flame speed of ammonia have a detrimental effect on engine characteristics, and it could be addressed either by incorporating engine modifications or by enhancing the fuel quality. Literature shows that the increase in compression ratio from 9.4:1 to 11.5:1 improved the maximum power by 59% and the addition of 10% hydrogen in supercharged conditions improved the indicated efficiency by 37%. Challenges and strategies for the utilization of ammonia as combustible fuel in engines are discussed by considering the need for technical advancements as well as social acceptance. Energy efficiency for green ammonia production is also discussed with a due note on techniques for direct synthesis of ammonia from air and water.
               "
Defective TiO2-x for High-Performance Electrocatalytic NO Reduction toward Ambient NH3 Production,"<jats:title>Abstract</jats:title><jats:p>Synthesis of green ammonia (NH<jats:sub>3</jats:sub>) via electrolysis of nitric oxide (NO) is extraordinarily sustainable, but multielectron/proton‐involved hydrogenation steps as well as low concentrations of NO can lead to poor activities and selectivities of electrocatalysts. Herein, it is reported that oxygen‐defective TiO<jats:sub>2</jats:sub> nanoarray supported on Ti plate (TiO<jats:sub>2−</jats:sub><jats:italic><jats:sub>x</jats:sub></jats:italic>/TP) behaves as an efficient catalyst for NO reduction to NH<jats:sub>3</jats:sub>. In 0.2 <jats:sc>m</jats:sc> phosphate‐buffered electrolyte, such TiO<jats:sub>2−</jats:sub><jats:italic><jats:sub>x</jats:sub></jats:italic>/TP shows competitive electrocatalytic NH<jats:sub>3</jats:sub> synthesis activity with a maximum NH<jats:sub>3</jats:sub> yield of 1233.2 µg h<jats:sup>−1</jats:sup> cm<jats:sup>−2</jats:sup> and Faradaic efficiency of 92.5%. Density functional theory calculations further thermodynamically faster NO deoxygenation and protonation processes on TiO<jats:sub>2−</jats:sub><jats:italic><jats:sub>x</jats:sub></jats:italic> (101) compared to perfect TiO<jats:sub>2</jats:sub> (101). And the low energy barrier of 0.7 eV on TiO<jats:sub>2−</jats:sub><jats:italic><jats:sub>x</jats:sub></jats:italic> (101) for the potential‐determining step further highlights the greatly improved intrinsic activity. In addition, a Zn‐NO battery is fabricated with TiO<jats:sub>2−</jats:sub><jats:italic><jats:sub>x</jats:sub></jats:italic>/TP and Zn plate to obtain an NH<jats:sub>3</jats:sub> yield of 241.7 µg h<jats:sup>−1</jats:sup> cm<jats:sup>−2</jats:sup> while providing a peak power density of 0.84 mW cm<jats:sup>−2</jats:sup>.</jats:p>"
Techno-economic assessment of green hydrogen and ammonia production from wind and solar energy in Iran,"
                  This paper presents a comprehensive technical and economic assessment of potential green hydrogen and ammonia production plants in different locations in Iran with strong wind and solar resources. The study was organized in five steps. First, regarding the wind density and solar PV potential data, three locations in Iran were chosen with the highest wind power, solar radiation, and a combination of both wind/solar energy. All these locations are inland spots, but since the produced ammonia is planned to be exported, it must be transported to the export harbor in the South of Iran. For comparison, a base case was also considered next to the export harbor with normal solar and wind potential, but no distance from the export harbor. In the second step, a similar large-scale hydrogen production facility with proton exchange membrane electrolyzers was modeled for all these locations using the HOMER Pro simulation platform. In the next step, the produced hydrogen and the nitrogen obtained from an air separation unit are supplied to a Haber-Bosch process to synthesize ammonia as a hydrogen carrier. Since water electrolysis requires a considerable amount of water with specific quality and because Iran suffers from water scarcity, this paper, unlike many similar research studies, addresses the challenges associated with the water supply system in the hydrogen production process. In this regard, in the fourth step of this study, it is assumed that seawater from the nearest sea is treated in a desalination plant and sent to the site locations. Finally, since this study intends to evaluate the possibility of green hydrogen export from Iran, a detailed piping model for the transportation of water, hydrogen, and ammonia from/to the production site and the export harbor is created in the last step, which considers the real routs using satellite images, and takes into account all pump/compression stations required to transport these media. This study provides a realistic cost of green hydrogen/ammonia production in Iran, which is ready to be exported, considering all related processes involved in the hydrogen supply chain.
               "
Estimating global production and supply costs for green hydrogen and hydrogen-based green energy commodities,"
                  Green energy commodities are expected to be central in decarbonising the global energy system. Such green energy commodities could be hydrogen or other hydrogen-based energy commodities produced from renewable energy sources (RES) such as solar or wind energy. We quantify the production cost and potentials of hydrogen and hydrogen-based energy commodities ammonia, methane, methanol, gasoline, diesel and kerosene in 113 countries. Moreover, we evaluate total supply costs to Germany, considering both pipeline-based and maritime transport. We determine production costs by optimising the investment and operation of commodity production from dedicated RES based on country-level RES potentials and country-specific weighted average costs of capital. Analysing the geographic distribution of production and supply costs, we find that production costs dominate the supply cost composition for liquid or easily liquefiable commodities, while transport costs dominate for gaseous commodities. In the case of Germany, importing green ammonia could be more cost-efficient than domestic production from locally produced or imported hydrogen. Green ammonia could be supplied to Germany from many regions worldwide at below the cost of domestic production, with costs ranging from 624 to 874 $/t NH3 and Norway being the cheapest supplier. Ammonia production using imported hydrogen from Spain could be cost-effective if a pan-European hydrogen pipeline grid based on repurposed natural gas pipelines exists.
               "
"A Perspective on the Overarching Role of Hydrogen, Ammonia, and Methanol Carbon-Neutral Fuels towards Net Zero Emission in the Next Three Decades","<jats:p>Arguably, one of the most important issues the world is facing currently is climate change. At the current rate of fossil fuel consumption, the world is heading towards extreme levels of global temperature rise if immediate actions are not taken. Transforming the current energy system from one largely based on fossil fuels to a carbon-neutral one requires unprecedented speed. Based on the current state of development, direct electrification of the future energy system alone is technically challenging and not enough, especially in hard-to-abate sectors like heavy industry, road trucking, international shipping, and aviation. This leaves a considerable demand for alternative carbon-neutral fuels such as green ammonia and hydrogen and renewable methanol. From this perspective, we discuss the overarching roles of each fuel in reaching net zero emission within the next three decades. The challenges and future directions associated with the fuels conclude the current perspective paper.</jats:p>"
The economics of global green ammonia trade - Shipping Australian wind and sunshine to Germany,"This paper contributes to understanding the transformation of global energy trade to green energy carriers, focusing on green ammonia as the foreseeable first green hydrogen carrier. We provide a comprehensive overview of today's ammonia trade and assess scaling options for the trade of green ammonia. To that aim, we develop an optimization model for the integrated assessment of the green ammonia value chain that covers all steps from green ammonia production in an exporting country, up to delivery to a harbor in an importing country. The model endogenously chooses among different technology options and determines cost minimal operation. In a case study, we apply the model to the large-scale import of ammonia from Australia to Germany in a scenario for 2030. The results show that green ammonia can reach cost parity with gray ammonia even for moderate gas prices (but not necessarily with blue ammonia) if CO2 prices are high enough. We also provide a sensitivity analysis with respect to the interest rate and other key technical and economic parameters and show that cracking ammonia to provide pure hydrogen comes at a 45% cost markup per MWh at the destination."
Techno-economic evaluation of hydrogen and ammonia as energy carriers in a multi-generation system,"
                  Green hydrogen is suitable for grid-scale energy storage to increase the penetration of renewable energy, and it is also an alternative to fossil fuels. However, it still suffers from storage problems owing to its low volumetric energy density, embrittlement, and very low boiling point. To improve safety and reduce cost, green ammonia has been proposed as a substitute for hydrogen and has attracted considerable attention. In this study, a multi-generation system was proposed to compare green hydrogen and green ammonia as energy carriers. Four scenarios are discussed and the performances under different energy carriers, constant and time-of-use electricity prices, and on-grid and off-grid operations are compared. The optimal planning of the system was formulated as a mixed-integer linear programming problem and was evaluated using supply and demand profiles hourly over a year. The objective was to maximize profitability, which is reflected by the cumulative cash position and payback period. The results revealed that the hydrogen-based system was superior to the ammonia-based system. In the hydrogen-based scenario, the cumulative cash position was 83.43 MUSD and the payback period was 14 years. The cumulative cash position and payback period were 12.78 MUSD and 22 years, respectively, in the ammonia-based scenario. To improve profitability, it is recommended to increase the capacity for hydrogen/ammonia production and reduce the capacity for backup power generation.
               "
